question_id,part_id,answer
Q1,1,FALSE
Q1,2,TRUE
Q1,3,2813
Q2,1,-0.009
Q2,2,-0.037
Q2,3,-0.161
Q3,1,21.332
Q3,1,21.159
Q3,1,21.163
Q3,2,21.793
Q3,2,21.689
Q3,2,21.281
Q3,3,LOW
Q4,1,2788:Shopping
Q4,1,60448:Shopping
Q4,1,62395:Shopping
Q4,1,721348:Shopping
Q4,1,25852:Entertainment
Q4,1,1185:Entertainment
Q4,1,82025:Travel
Q4,1,353653:Shopping
Q4,1,281783:Shopping
Q4,1,260951:Shopping
Q4,2,2111.441
Q4,3,2788:0.211
Q4,3,60448:0.175
Q4,3,62395:0.145
Q4,3,721348:0.230
Q4,3,25852:0.144
Q4,3,1185:0.132
Q4,3,82025:0.172
Q4,3,353653:0.162
Q4,3,281783:0.132
Q4,3,260951:0.162
Q5,1,1100615:3.444  
Q5,1,1355885:0.083  
Q5,1,1516236:0.043  
Q5,1,1422016:2.615  
Q5,1,1516236:0.043  
Q5,1,1179316:0.041  
Q5,1,1489240:0.333
Q5,1,1204750:0.333
Q5,1,1513605:0.263
Q5,1,1462338:0.259
Q5,1,1331949:0.232
Q5,1,1463634:0.225
Q5,1,1346740:0.222
Q5,1,1901806:0.121
Q5,1,1818348:0.116
Q5,2,1100615:Shopping  
Q5,2,1355885:Shopping  
Q5,2,1516236:Shopping  
Q5,2,1422016:Shopping  
Q5,2,1516236:Shopping  
Q5,2,1179316:Shopping  
Q5,2,1489240:Shopping  
Q5,2,1204750:Shopping  
Q5,2,1513605:Shopping  
Q5,2,1462338:Shopping  
Q5,2,1331949:Shopping  
Q5,2,1463634:Shopping  
Q5,2,1346740:Shopping  
Q5,2,1901806:Shopping  
Q5,2,1818348:Shopping  
Q5,3,1100615:0.333
Q5,3,1355885:0.250
Q5,3,1516236:7.000
Q5,3,1422016:0.111
Q5,3,1462338:0.142
Q5,3,1100615:3.444  
Q5,3,1355885:0.083  
Q5,3,1204750:0.25
Q5,3,1346740:0.1
Q5,3,1462338:0.259
Q5,3,1331949:0.232
Q5,3,1463634:0.225
Q5,3,1346740:0.222
Q5,3,1901806:0.121
Q5,3,1818348:0.116
Q6,1,0.017
Q6,2,0.017
